"Event","Currency","Flight","Pool","Auction Order","Team","Players","Buyer","Sale Price","Sale Status","Sold At","Sale ID"
"Edwards County Calcutta — Four-flight Audit","USD","First Flight","First Flight","18","Audit Team 018","Player 17 A / Player 17 B","Renée, Jr. ""Club""","625.18","ACTIVE","2026-09-14T04:51:25.338Z","ebcc3ad4-4b2b-4230-995a-85f215e648ea"
"Edwards County Calcutta — Four-flight Audit","USD","Championship Flight","Championship Flight","17","Audit Team 017","Player 16 A / Player 16 B","Pine Syndicate","625.17","ACTIVE","2026-09-14T04:51:25.246Z","86d021bd-6f32-4744-9f5e-1e1401ecbce2"
"Edwards County Calcutta — Four-flight Audit","USD","Third Flight","Third Flight","16","Audit Team 016","Player 15 A / Player 15 B","Johnson Group","625.16","ACTIVE","2026-09-14T04:51:25.151Z","0d0d8202-2d37-4fc0-845f-5a26308efa28"
"Edwards County Calcutta — Four-flight Audit","USD","Second Flight","Second Flight","15","Audit Team 015","Player 14 A / Player 14 B","Renée, Jr. ""Club""","625.15","ACTIVE","2026-09-14T04:51:25.057Z","35da32d8-dd0b-4a64-a569-caf7b5bf4cbc"
"Edwards County Calcutta — Four-flight Audit","USD","First Flight","First Flight","14","Audit Team 014","Player 13 A / Player 13 B","Pine Syndicate","625.14","ACTIVE","2026-09-14T04:51:24.960Z","e12682e9-5b0e-4142-abd4-9b008ec48e3d"
"Edwards County Calcutta — Four-flight Audit","USD","Championship Flight","Championship Flight","13","Audit Team 013","Player 12 A / Player 12 B","Johnson Group","625.13","ACTIVE","2026-09-14T04:51:24.860Z","c7d3fe23-d182-4ffe-99a2-78b7dce5a593"
"Edwards County Calcutta — Four-flight Audit","USD","Third Flight","Third Flight","12","Audit Team 012","Player 11 A / Player 11 B","Renée, Jr. ""Club""","625.12","ACTIVE","2026-09-14T04:51:24.755Z","9c70350a-6a98-473e-a88a-d09307a25132"
"Edwards County Calcutta — Four-flight Audit","USD","Second Flight","Second Flight","11","Audit Team 011","Player 10 A / Player 10 B","Pine Syndicate","625.11","ACTIVE","2026-09-14T04:51:24.648Z","21309aa3-6b3f-40b9-9852-7cd6e4996c8c"
"Edwards County Calcutta — Four-flight Audit","USD","First Flight","First Flight","10","Audit Team 010","Player 9 A / Player 9 B","Johnson Group","625.10","ACTIVE","2026-09-14T04:51:24.545Z","ef97fedc-4998-491a-8514-a90b23fb3d74"
"Edwards County Calcutta — Four-flight Audit","USD","Championship Flight","Championship Flight","9","Audit Team 009","Player 8 A / Player 8 B","Renée, Jr. ""Club""","625.09","ACTIVE","2026-09-14T04:51:24.446Z","a0400bdd-b32e-4ae7-8908-43148e8dbe3a"
"Edwards County Calcutta — Four-flight Audit","USD","Third Flight","Third Flight","8","Audit Team 008","Player 7 A / Player 7 B","Pine Syndicate","625.08","ACTIVE","2026-09-14T04:51:24.344Z","178e45ee-36b4-4c97-9599-cfc2990a3085"
"Edwards County Calcutta — Four-flight Audit","USD","Second Flight","Second Flight","7","Audit Team 007","Player 6 A / Player 6 B","Johnson Group","625.07","ACTIVE","2026-09-14T04:51:24.235Z","6020de3a-9a36-4851-a316-a872b7e6e07d"
"Edwards County Calcutta — Four-flight Audit","USD","First Flight","First Flight","6","Audit Team 006","Player 5 A / Player 5 B","Renée, Jr. ""Club""","625.06","ACTIVE","2026-09-14T04:51:24.117Z","ac7e50d5-6e0e-4d1c-b009-eac37d5e9df6"
"Edwards County Calcutta — Four-flight Audit","USD","Championship Flight","Championship Flight","5","Audit Team 005","Player 4 A / Player 4 B","Pine Syndicate","625.05","ACTIVE","2026-09-14T04:51:24.023Z","9994563d-1456-411d-bdf0-8d80a800cb82"
"Edwards County Calcutta — Four-flight Audit","USD","Third Flight","Third Flight","4","Audit Team 004","Player 3 A / Player 3 B","Johnson Group","625.04","ACTIVE","2026-09-14T04:51:23.911Z","44ee68fc-799e-4c5d-9df0-0616e517a821"
"Edwards County Calcutta — Four-flight Audit","USD","Second Flight","Second Flight","3","Audit Team 003","Player 2 A / Player 2 B","Renée, Jr. ""Club""","625.03","ACTIVE","2026-09-14T04:51:23.820Z","8b252502-d148-4b47-898b-8e3545eae4a1"
"Edwards County Calcutta — Four-flight Audit","USD","First Flight","First Flight","2","'=HYPERLINK(""https://invalid.example"")","Player 1 A / Player 1 B","Pine Syndicate","625.02","ACTIVE","2026-09-14T04:51:23.712Z","8e69ee7a-7503-4d6c-a8cb-ce5f04e2b2c4"
"Edwards County Calcutta — Four-flight Audit","USD","Championship Flight","Championship Flight","1","Renée, Jr. / O""Brien | North","Player 0 A / Player 0 B","Johnson Group","1250.01","ACTIVE","2026-09-14T04:51:23.593Z","840c4dd8-592d-438b-8a69-095d2e2301c5"
