"Event","Currency","Team","Sale Status","Sale Price","Owner","Owner Type","Ownership Percentage","Agreement Status","Private Buyback Consideration"
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 018","ACTIVE","625.18","Renée, Jr. ""Club""","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 017","ACTIVE","625.17","Pine Syndicate","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 016","ACTIVE","625.16","Johnson Group","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 015","ACTIVE","625.15","Renée, Jr. ""Club""","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 014","ACTIVE","625.14","Pine Syndicate","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 013","ACTIVE","625.13","Johnson Group","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 012","ACTIVE","625.12","Renée, Jr. ""Club""","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 011","ACTIVE","625.11","Pine Syndicate","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 010","ACTIVE","625.10","Johnson Group","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 009","ACTIVE","625.09","Renée, Jr. ""Club""","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 008","ACTIVE","625.08","Pine Syndicate","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 007","ACTIVE","625.07","Johnson Group","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 006","ACTIVE","625.06","Renée, Jr. ""Club""","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 005","ACTIVE","625.05","Pine Syndicate","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 004","ACTIVE","625.04","Johnson Group","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Audit Team 003","ACTIVE","625.03","Renée, Jr. ""Club""","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","'=HYPERLINK(""https://invalid.example"")","ACTIVE","625.02","Pine Syndicate","buyer","100","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Renée, Jr. / O""Brien | North","ACTIVE","1250.01","Johnson Group","buyer","66.67","Completed",""
"Edwards County Calcutta — Four-flight Audit","USD","Renée, Jr. / O""Brien | North","ACTIVE","1250.01","Renée, Jr. / O""Brien | North","team","33.33","Completed","416.63"
