"Event","Flight","Pool","Auction Order","Team","Players","Handicap","Seed","Status","Finishing Position"
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","1","Renée, Jr. / O""Brien | North","Player 0 A / Player 0 B","","","SOLD","1"
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","2","'=HYPERLINK(""https://invalid.example"")","Player 1 A / Player 1 B","","","SOLD","1"
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","3","Audit Team 003","Player 2 A / Player 2 B","","","SOLD","1"
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","4","Audit Team 004","Player 3 A / Player 3 B","","","SOLD","1"
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","5","Audit Team 005","Player 4 A / Player 4 B","","","SOLD","2"
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","6","Audit Team 006","Player 5 A / Player 5 B","","","SOLD","2"
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","7","Audit Team 007","Player 6 A / Player 6 B","","","SOLD","2"
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","8","Audit Team 008","Player 7 A / Player 7 B","","","SOLD","2"
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","9","Audit Team 009","Player 8 A / Player 8 B","","","SOLD","3"
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","10","Audit Team 010","Player 9 A / Player 9 B","","","SOLD","3"
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","11","Audit Team 011","Player 10 A / Player 10 B","","","SOLD","3"
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","12","Audit Team 012","Player 11 A / Player 11 B","","","SOLD","3"
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","13","Audit Team 013","Player 12 A / Player 12 B","","","SOLD","4"
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","14","Audit Team 014","Player 13 A / Player 13 B","","","SOLD","4"
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","15","Audit Team 015","Player 14 A / Player 14 B","","","SOLD","4"
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","16","Audit Team 016","Player 15 A / Player 15 B","","","SOLD","4"
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","17","Audit Team 017","Player 16 A / Player 16 B","","","SOLD","5"
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","18","Audit Team 018","Player 17 A / Player 17 B","","","SOLD","5"
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","19","Christopher Montgomery-Wellington / Alexander Richardson-Harrington","Player 18 A / Player 18 B","","","UNSOLD",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","20","Audit Team 020","Player 19 A / Player 19 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","21","Audit Team 021","Player 20 A / Player 20 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","22","Audit Team 022","Player 21 A / Player 21 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","23","Audit Team 023","Player 22 A / Player 22 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","24","Audit Team 024","Player 23 A / Player 23 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","25","Audit Team 025","Player 24 A / Player 24 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","26","Audit Team 026","Player 25 A / Player 25 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","27","Audit Team 027","Player 26 A / Player 26 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","28","Audit Team 028","Player 27 A / Player 27 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","29","Audit Team 029","Player 28 A / Player 28 B","","","UPCOMING",""
