"Time","Operator","Action","Record","Undone"
"2026-09-14T13:05:29.811Z","seedy@sites.test","undo","505390c5-812b-4780-95c0-1a2ba854a732","No"
"2026-09-14T13:05:29.758Z","seedy@sites.test","settlement_reverse","b4df1c83-9898-48cf-b053-e8f6e3e2fd8d","Yes"
"2026-09-14T13:05:29.694Z","seedy@sites.test","payout_save","","No"
"2026-09-14T13:05:29.639Z","seedy@sites.test","settlement_record","6d506e8f-e062-475e-9010-759430ea6431","No"
"2026-09-14T13:05:29.576Z","seedy@sites.test","results","","No"
"2026-09-14T13:05:29.518Z","seedy@sites.test","status","","No"
"2026-09-14T13:05:29.446Z","seedy@sites.test","undo","2ded61fa-d7e4-448e-96e6-05ffddb9886b","No"
"2026-09-14T13:05:29.394Z","seedy@sites.test","settlement_reverse","1106ad9d-0c6d-4492-869a-dd648ac6c56c","Yes"
"2026-09-14T13:05:29.335Z","seedy@sites.test","undo","15a0a43c-c6fd-4486-8768-dc1c6caed276","No"
"2026-09-14T13:05:29.273Z","seedy@sites.test","sale_edit","5958c8dc-8cad-4320-aee9-fc003f3aeb2a","Yes"
"2026-09-14T13:05:29.204Z","seedy@sites.test","sale_edit","20c72e36-fbe6-40b9-b071-d7484e237e5a","No"
"2026-09-14T13:05:29.085Z","seedy@sites.test","settlement_record","20034ef1-ce10-4d93-b9ab-4fc22c2319eb","No"
"2026-09-14T13:05:29.034Z","seedy@sites.test","settlement_record","95a33083-c685-4176-9ca8-682f98c855de","No"
"2026-09-14T13:05:28.984Z","seedy@sites.test","sell","0c63e017-9ece-4795-8647-cf6d22e980cb","No"
"2026-09-14T13:05:28.930Z","seedy@sites.test","bid","ef83ffb0-0275-404a-83bd-199b84b5f2a6","No"
"2026-09-14T13:05:28.876Z","seedy@sites.test","sell","5958c8dc-8cad-4320-aee9-fc003f3aeb2a","No"
"2026-09-14T13:05:28.818Z","seedy@sites.test","bid","2bc156dc-02b9-4417-a469-16b2406f0a3a","No"
"2026-09-14T13:05:28.766Z","seedy@sites.test","sell","20c72e36-fbe6-40b9-b071-d7484e237e5a","No"
"2026-09-14T13:05:28.718Z","seedy@sites.test","bid","46e426b3-6597-428a-a0e5-eae10cccb1ed","No"
"2026-09-14T13:05:28.668Z","seedy@sites.test","status","","No"
"2026-09-14T13:05:28.606Z","seedy@sites.test","payout_save","","No"
"2026-09-14T13:05:28.539Z","seedy@sites.test","event_update","","No"
"2026-09-14T13:05:28.479Z","seedy@sites.test","buyer_save","1c6d060e-f09b-4ee0-9f72-46211519bb0e","No"
"2026-09-14T13:05:28.411Z","seedy@sites.test","buyer_save","d8ee3078-5fef-47bb-b17d-b9994ec6114b","No"
"2026-09-14T13:05:28.333Z","seedy@sites.test","team_import","ef83ffb0-0275-404a-83bd-199b84b5f2a6","No"
"2026-09-14T13:05:28.254Z","seedy@sites.test","flight_save","","No"
"2026-09-14T13:05:28.044Z","seedy@sites.test","Create event","","No"
